"Alias","Golfer 1","Golfer 2","Golfer 3","Golfer 4","Golfer 5"
"pboleza","RORY MCILROY","JON RAHM","MATT KUCHAR","SERGIO GARCIA","ADAM SCOTT"
"jdige","FRANCESCO MOLINARI","JON RAHM","TIGER WOODS","KEEGAN BRADLEY","JORDAN SPIETH"
"jdige","RORY MCILROY","DUSTIN JOHNSON","TIGER WOODS","HIDEKI MATSUYAMA","JORDAN SPIETH"
"gibbyqui","DUSTIN JOHNSON","JON RAHM","TOMMY FLEETWOOD","ADAM SCOTT","CHARLEY HOFFMAN"
"gibbyqui","JUSTIN ROSE","RORY MCILROY","BUBBA WATSON","IAN POULTER","JORDAN SPIETH"
"gibbyqui","JUSTIN ROSE","DUSTIN JOHNSON","TIGER WOODS","JORDAN SPIETH","KEEGAN BRADLEY"
"spscottu","JUSTIN ROSE","MATT KUCHAR","MARC LEISHMAN","CAMERON SMITH","BRANDEN GRACE"
"wmckisso","RORY MCILROY","BROOKS KOEPKA","MATT KUCHAR","CHARLES HOWELL III","HENRIK STENSON"
"brooks.he","RORY MCILROY","BROOKS KOEPKA","ADAM SCOTT","JORDAN SPIETH","TOMMY FLEETWOOD"
"kellywatson","JUSTIN ROSE","DUSTIN JOHNSON","TIGER WOODS","KEEGAN BRADLEY","JORDAN SPIETH"
"kellywatson","BROOKS KOEPKA","BRYSON DECHAMBEAU","TOMMY FLEETWOOD","BRANDT SNEDEKER","JORDAN SPIETH"
"MPERRICC","JUSTIN THOMAS","RICKIE FOWLER","JORDAN SPIETH","TIGER WOODS","HIDEKI MATSUYAMA"
"MPERRICC","DUSTIN JOHNSON","RICKIE FOWLER","TIGER WOODS","JORDAN SPIETH","HIDEKI MATSUYAMA"
"semple","BROOKS KOEPKA","JUSTIN THOMAS","TONY FINAU","J.B. HOLMES","BRANDT SNEDEKER"
"stephen.r.mo","DUSTIN JOHNSON","RORY MCILROY","TIGER WOODS","HIDEKI MATSUYAMA","CHARLEY HOFFMAN"
"stephen.r.mo","RORY MCILROY","RICKIE FOWLER","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","BRANDT SNEDEKER"
"wvyd","RORY MCILROY","JUSTIN THOMAS","MATT KUCHAR","SERGIO GARCIA","ADAM SCOTT"
"akesterm","FRANCESCO MOLINARI","RORY MCILROY","PAUL CASEY","HENRIK STENSON","CHARLEY HOFFMAN"
"mikesempl","BROOKS KOEPKA","RORY MCILROY","TONY FINAU","HIDEKI MATSUYAMA","ADAM SCOTT"
"brian52","DUSTIN JOHNSON","RORY MCILROY","PAUL CASEY","ADAM SCOTT","JORDAN SPIETH"
"brian52","FRANCESCO MOLINARI","DUSTIN JOHNSON","PAUL CASEY","CAMERON SMITH","ADAM SCOTT"
"brian52","BROOKS KOEPKA","DUSTIN JOHNSON","PAUL CASEY","ALEX NOREN","JORDAN SPIETH"
"brian52","DUSTIN JOHNSON","BROOKS KOEPKA","TONY FINAU","ADAM SCOTT","JORDAN SPIETH"
"brian52","FRANCESCO MOLINARI","BROOKS KOEPKA","PAUL CASEY","JORDAN SPIETH","ADAM SCOTT"
"nicholas.pe","RORY MCILROY","TIGER WOODS","JUSTIN THOMAS","JORDAN SPIETH","HIDEKI MATSUYAMA"
"crfyat","FRANCESCO MOLINARI","JON RAHM","TONY FINAU","JORDAN SPIETH","HAOTONG LI"
"nicholas.pe","JUSTIN ROSE","PAUL CASEY","TOMMY FLEETWOOD","JORDAN SPIETH","EDDIE PEPPERELL"
"tlindse","RICKIE FOWLER","JUSTIN THOMAS","TIGER WOODS","CAMERON SMITH","ADAM SCOTT"
"wtrizzu","RICKIE FOWLER","JORDAN SPIETH","PAUL CASEY","BRYSON DECHAMBEAU","CHARLEY HOFFMAN"
"jkeenan","JUSTIN THOMAS","JORDAN SPIETH","KEEGAN BRADLEY","JUSTIN ROSE","CAMERON SMITH"
"davolio.matt","JUSTIN THOMAS","JON RAHM","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","MATTHEW FITZPATRICK"
"landoncmo","RORY MCILROY","JON RAHM","PATRICK CANTLAY","HIDEKI MATSUYAMA","JORDAN SPIETH"
"mftaylor1","JUSTIN ROSE","FRANCESCO MOLINARI","LOUIS OOSTHUIZEN","JORDAN SPIETH","BRANDT SNEDEKER"
"landoncmo","BROOKS KOEPKA","JUSTIN ROSE","TIGER WOODS","CAMERON SMITH","ADAM SCOTT"
"mftaylor1","RORY MCILROY","RICKIE FOWLER","TIGER WOODS","HIDEKI MATSUYAMA","CAMERON SMITH"
"talund2","RORY MCILROY","FRANCESCO MOLINARI","ADAM SCOTT","MATT KUCHAR","JORDAN SPIETH"
"dlmjr","RORY MCILROY","JUSTIN THOMAS","TIGER WOODS","SERGIO GARCIA","JORDAN SPIETH"
"church.waes","RORY MCILROY","MATT KUCHAR","DUSTIN JOHNSON","HIDEKI MATSUYAMA","BRANDT SNEDEKER"
"church.waes","RORY MCILROY","JUSTIN ROSE","TOMMY FLEETWOOD","ADAM SCOTT","JORDAN SPIETH"
"meredith.ger","JUSTIN ROSE","JON RAHM","ADAM SCOTT","HENRIK STENSON","JASON DAY"
"nick","BROOKS KOEPKA","DUSTIN JOHNSON","TOMMY FLEETWOOD","SERGIO GARCIA","JORDAN SPIETH"
"charles.sch","FRANCESCO MOLINARI","JUSTIN ROSE","TOMMY FLEETWOOD","HAOTONG LI","THORBJORN OLESEN"
"Stevebarge","RORY MCILROY","JUSTIN THOMAS","LOUIS OOSTHUIZEN","JORDAN SPIETH","MATTHEW FITZPATRICK"
"charles.sch","DUSTIN JOHNSON","JON RAHM","MATT KUCHAR","JORDAN SPIETH","KYLE STANLEY"
"kjgrusma","JUSTIN ROSE","BROOKS KOEPKA","TIGER WOODS","ADAM SCOTT","JORDAN SPIETH"
"kjgrusma","RORY MCILROY","DUSTIN JOHNSON","TIGER WOODS","JORDAN SPIETH","SERGIO GARCIA"
"kjgrusma","BROOKS KOEPKA","BRYSON DECHAMBEAU","JASON DAY","ADAM SCOTT","JORDAN SPIETH"
"b.morgan.p","JUSTIN ROSE","RICKIE FOWLER","BUBBA WATSON","SERGIO GARCIA","ADAM SCOTT"
"jwdo","RORY MCILROY","FRANCESCO MOLINARI","TOMMY FLEETWOOD","JORDAN SPIETH","IAN POULTER"
"b.morgan.p","DUSTIN JOHNSON","RORY MCILROY","JASON DAY","JORDAN SPIETH","KEEGAN BRADLEY"
"robertgrac","JON RAHM","DUSTIN JOHNSON","HIDEKI MATSUYAMA","CAMERON SMITH","MATT KUCHAR"
"robertgrac","BROOKS KOEPKA","RORY MCILROY","PAUL CASEY","JORDAN SPIETH","CHARLEY HOFFMAN"
"nick","DUSTIN JOHNSON","RORY MCILROY","KEVIN KISNER","ADAM SCOTT","JORDAN SPIETH"
"gary.d.stewa","JORDAN SPIETH","TIGER WOODS","DUSTIN JOHNSON","BROOKS KOEPKA","SERGIO GARCIA"
"bradencla","JUSTIN ROSE","DUSTIN JOHNSON","PAUL CASEY","HIDEKI MATSUYAMA","JORDAN SPIETH"
"patrickbree","TIGER WOODS","DUSTIN JOHNSON","RORY MCILROY","JORDAN SPIETH","SERGIO GARCIA"
"bradencla","RORY MCILROY","RICKIE FOWLER","TIGER WOODS","HENRIK STENSON","HIDEKI MATSUYAMA"
"colinokeef","JUSTIN ROSE","BROOKS KOEPKA","TONY FINAU","JORDAN SPIETH","HENRIK STENSON"
"Cville","RORY MCILROY","JON RAHM","BUBBA WATSON","ADAM SCOTT","JORDAN SPIETH"
"matthew.deng","RORY MCILROY","JON RAHM","TIGER WOODS","ADAM SCOTT","JORDAN SPIETH"
"meredith.k.b","JUSTIN ROSE","FRANCESCO MOLINARI","TOMMY FLEETWOOD","ADAM SCOTT","JORDAN SPIETH"
"silverhill","RICKIE FOWLER","TIGER WOODS","KEEGAN BRADLEY","TOMMY FLEETWOOD","BRANDT SNEDEKER"
"matthew.v.pierc","JUSTIN ROSE","RORY MCILROY","ADAM SCOTT","HIDEKI MATSUYAMA","PAUL CASEY"
"jamesbulsiew","RORY MCILROY","JUSTIN ROSE","TIGER WOODS","SERGIO GARCIA","CAMERON SMITH"
"williamtpowe","JUSTIN ROSE","JUSTIN THOMAS","TIGER WOODS","HIDEKI MATSUYAMA","JORDAN SPIETH"
"stfrisc","DUSTIN JOHNSON","JUSTIN THOMAS","PAUL CASEY","ADAM SCOTT","J.B. HOLMES"
"jamesbulsiew","JUSTIN ROSE","BRYSON DECHAMBEAU","TOMMY FLEETWOOD","RAFAEL CABRERA BELLO","JORDAN SPIETH"
"everts.br","RORY MCILROY","BROOKS KOEPKA","SERGIO GARCIA","ADAM SCOTT","TIGER WOODS"
"michaelorm","JUSTIN ROSE","FRANCESCO MOLINARI","TONY FINAU","HIDEKI MATSUYAMA","CHARLEY HOFFMAN"
"timothyrainierjen","FRANCESCO MOLINARI","JUSTIN THOMAS","TONY FINAU","HIDEKI MATSUYAMA","CAMERON SMITH"
"kathleenmaxw","JUSTIN ROSE","DUSTIN JOHNSON","PAUL CASEY","ADAM SCOTT","JORDAN SPIETH"
"rogerwaesc","JUSTIN ROSE","DUSTIN JOHNSON","TIGER WOODS","ADAM SCOTT","JORDAN SPIETH"
"rogerwaesc","DUSTIN JOHNSON","RORY MCILROY","TIGER WOODS","JORDAN SPIETH","CHARLEY HOFFMAN"
"BrendanHeal","RICKIE FOWLER","RORY MCILROY","TIGER WOODS","JORDAN SPIETH","HIDEKI MATSUYAMA"
"ianleek","RORY MCILROY","DUSTIN JOHNSON","HIDEKI MATSUYAMA","ADAM SCOTT","TOMMY FLEETWOOD"
"giulianiandr","JUSTIN ROSE","FRANCESCO MOLINARI","MATT KUCHAR","SERGIO GARCIA","ADAM SCOTT"
"jhuds","RICKIE FOWLER","RORY MCILROY","TIGER WOODS","SERGIO GARCIA","SI WOO KIM"
"jhuds","JUSTIN ROSE","RORY MCILROY","TOMMY FLEETWOOD","ADAM SCOTT","HIDEKI MATSUYAMA"
"bdellera","DUSTIN JOHNSON","JUSTIN THOMAS","TIGER WOODS","SI WOO KIM","EDDIE PEPPERELL"
"aholden1","HIDEKI MATSUYAMA","HENRIK STENSON","BRYSON DECHAMBEAU","BROOKS KOEPKA","TOMMY FLEETWOOD"
"jhallbe","RORY MCILROY","FRANCESCO MOLINARI","TOMMY FLEETWOOD","SERGIO GARCIA","ADAM SCOTT"
"jhallbe","RORY MCILROY","RICKIE FOWLER","PAUL CASEY","SERGIO GARCIA","CHARLEY HOFFMAN"
"jamesbfri","JUSTIN ROSE","RORY MCILROY","TIGER WOODS","HIDEKI MATSUYAMA","ADAM SCOTT"
"jdccampb","JON RAHM","RICKIE FOWLER","TIGER WOODS","JORDAN SPIETH","BRANDT SNEDEKER"
